Title,Description,Board,Status,Universes,Labels,Due Date,Checklist,Notes
FlowSuite — MoneyFlow Module,"CashDashboard, CashFlowForecaster, AP Recon, IIF Factory, dual AP split into Transactions vs Contracts and Leases.",1. Projects,ACTIVE NOW,CARES Consulting Inc + Flows and Solutions,🛠 In Progress,,[ ] AP Recon complete | [ ] IIF Factory complete | [ ] CashFlowForecaster complete,
Get Everything-Board useable,"Fix tab bar overflow, get import CSV build and loaded, test with real data. everything.karikounkel.com - Supabase iwrrkhzjfjlgpqmzlxqb",1. Projects,ACTIVE NOW,Flows and Solutions + K Co Curated,🛠 In Progress,2026-04-07,[x] Fix labels  | [ ] Build import CSV | [ ] Import cards | [ ] Fix tab bar overflow | [ ] Fix dashboard tile size | [ ] Test universe filter,
Keepstead — Phase 1 Foundation,"New Supabase project, GitHub repo kari-kounkel/keepstead, Vercel to keepstead.pro, auth shell, RoomGate component, full schema SQL. Blueprint locked March 31 2026.",1. Projects,ACTIVE NOW,Flows and Solutions + K Co Curated,🛠 In Progress,2026-04-04,[ ] New Supabase project | [ ] New GitHub repo | [ ] C:\dev\keepstead folder | [ ] Vercel → keepstead.pro | [ ] Auth shell + dashboard | [ ] RoomGate component | [ ] Run schema SQL,
Contacts & Connections — Big Week,"Major outreach and relationship-building push. New partnerships, clients, collaborators. Build the team.",4. Clients,ACTIVE NOW,CARES Consulting Inc + Marketing Plans,urgent,2026-04-07,[ ] Identify top 13 contacts to reach | [ ] Draft outreach messages | [ ] Follow up on existing leads | [ ] Schedule calls this week,
Des — FlowSuite Sales Partnership,Desiree Hart as sales and relationship partner for FlowSuite commercialization. Georgia market and beyond.,4. Clients,ACTIVE NOW,Partners + Flows and Solutions,🛠 In Progress,,[ ] Define commission structure | [ ] Georgia market plan | [ ] Pricing deck for prospects | [ ] First prospect outreach,
Keepstead — Phase 1 Foundation,"New Supabase project, GitHub repo kari-kounkel/keepstead, Vercel to keepstead.pro, auth shell, RoomGate component, full schema SQL. Blueprint locked March 31 2026.",1. Projects,ACTIVE NOW,K Co Curated + Flows and Solutions,🛠 In Progress,,[ ] New Supabase project | [ ] New GitHub repo kari-kounkel/keepstead | [ ] dev/keepstead folder on machine | [ ] Vercel to keepstead.pro | [ ] Auth shell and dashboard | [ ] RoomGate component | [ ] Run schema SQL,
Keepstead — Phase 2 Migrate Everything Board,Port Everything Board into rooms/Everything.jsx. Migrate 13 universes and cards. Retire standalone URL.,1. Projects,NEXT UP,K Co Curated + Flows and Solutions,,,[ ] Port Everything Board code | [ ] Migrate universes | [ ] Migrate cards | [ ] Retire everything.karikounkel.com,
Keepstead — Phase 3 Migrate CCK Recovery Room,Port Credit Comeback Kit into Recovery room. Migrate founding cohort. Recovery Mode onboarding path.,1. Projects,NEXT UP,K Co Curated + Flows and Solutions,,,[ ] Port CCK code | [ ] Migrate Jessica Desiree Betsy Scott data | [ ] Recovery Mode toggle | [ ] Retire credit.karikounkel.com,
Keepstead — Phase 5 Vault and Legacy,"Document storage, investment tracker, beneficiary records, estate wishes, trusted contacts.",1. Projects,PLANTED,K Co Curated + Flows and Solutions,,,[ ] Vault document upload | [ ] Vault investment tracker | [ ] Legacy beneficiaries | [ ] Legacy wishes | [ ] Stripe tier gating live,
Keepstead — Phase 6 Launch,"Public signup, keepstead.pro landing page, founding member pricing $13/mo, Facebook and Substack launch posts, founder video.",5. Business,PLANTED,K Co Curated + Marketing Plans,,,[ ] Landing page | [ ] Public signup flow | [ ] Founding member pricing live | [ ] Facebook launch post | [ ] Substack launch post | [ ] Founder video | [ ] Ask Kari widget embedded,
Keepstead — Architecture Document,"Full blueprint locked March 31 2026. Six rooms, permission layer, schema, repo structure, build phases, session update protocol.",8. Systems,DONE,K Co Curated + Flows and Solutions,✅ Done,2026-03-31,[x] Six rooms named and locked | [x] Permission layer designed | [x] Schema sketched | [x] Repo structure mapped | [x] Build phases ordered,Completed 3/31/2026
Everything Board — Make Useable for Kari,"Fix tab bar overflow, get import CSV built and loaded, test with real data. everything.karikounkel.com",1. Projects,ACTIVE NOW,K Co Curated + Flows and Solutions,🛠 In Progress,2026-04-07,[x] Fix labels | [ ] Build and import CSV | [ ] Fix tab bar overflow | [ ] Fix dashboard tile size | [ ] Test universe filter | [ ] Tab config saves to Supabase,
Everything Board — Migrate into Keepstead,Eventually folds into Keepstead Everything room. Standalone board retired when Keepstead Phase 2 is complete.,1. Projects,PLANTED,K Co Curated + Flows and Solutions,,,[ ] Keepstead Phase 2 complete | [ ] Data migrated | [ ] Standalone retired,
Everything Board — Sell as Standalone,"Sellable version needs user-editable tabs stored in Supabase, user-editable labels, user-editable Empire list, password recovery.",5. Business,NEXT UP,K Co Curated + Flows and Solutions,🙋 Needs Input,,[ ] User-editable tabs in Supabase | [ ] User-editable labels | [ ] User-editable Empire list | [ ] Password recovery | [ ] Public marketing page,
